X,Y,e_max,hsrX,hsrY,velX,velY,vMag,X2Vel,Y2Vel,AzimuthVel,FD_CCW_TN,X2SR,Y2SR,AzimuthSR,SD_CCW_TN
796495.9089,1986499.856,0.000182608,0.970762876,-0.240023606,-0.111948816,0.380752333,0.396877557,796495.7969,1986500.236,343.616,39,796496.8796,1986499.615,104,279
796496.9089,1986494.977,0.000182311,0.970715899,-0.240217365,-0.111508534,0.37954774,0.395595707,796496.7973,1986495.355,343.628,39,796497.8796,1986494.736,104,279
796497.9089,1986490.098,0.000182015,0.970668854,-0.240411349,-0.111068652,0.378343332,0.394314111,796497.7977,1986490.476,343.64,39,796498.8795,1986489.857,104,279
796498.9089,1986485.219,0.000181718,0.970621739,-0.240605557,-0.11062917,0.377139109,0.393032768,796498.7982,1986485.595,343.652,39,796499.8795,1986484.978,104,279
796499.9089,1986480.34,0.000181421,0.970574555,-0.240799991,-0.110190088,0.375935072,0.391751679,796499.7987,1986480.715,343.664,39,796500.8794,1986480.099,104,279
796500.9089,1986475.461,0.000181122,0.970524536,-0.240997715,-0.109756157,0.374739845,0.39048458,796500.799,1986475.835,343.675,39,796501.8794,1986475.22,104,279
796501.9089,1986470.582,0.000180823,0.970474165,-0.241195965,-0.109323128,0.373545682,0.389219133,796501.7995,1986470.955,343.687,39,796502.8793,1986470.34,104,279
796502.9089,1986465.703,0.000180524,0.970423719,-0.241394434,-0.108890527,0.37235172,0.387953962,796502.8,1986466.075,343.699,39,796503.8793,1986465.461,104,279
796503.9089,1986460.824,0.000180224,0.970373197,-0.241593123,-0.108458352,0.371157958,0.386689068,796503.8003,1986461.195,343.711,39,796504.8792,1986460.582,104,279
796504.9089,1986455.945,0.000179924,0.9703226,-0.241792031,-0.108026605,0.369964396,0.385424452,796504.8008,1986456.314,343.723,39,796505.8792,1986455.703,104,279
796505.9089,1986451.066,0.000179624,0.970271928,-0.241991159,-0.107595284,0.368771035,0.384160111,796505.8013,1986451.433,343.734,39,796506.8791,1986450.824,104,279
796506.9089,1986446.187,0.000179323,0.970221181,-0.242190506,-0.107164391,0.367577873,0.382896048,796506.8017,1986446.554,343.746,39,796507.8791,1986445.944,104,279
796507.9089,1986441.308,0.000179022,0.970170358,-0.242390072,-0.106733925,0.366384913,0.381632261,796507.8021,1986441.674,343.758,39,796508.879,1986441.065,104,279
796508.9089,1986436.429,0.000178721,0.970119461,-0.242589857,-0.106303886,0.365192152,0.380368751,796508.8025,1986436.794,343.77,39,796509.879,1986436.186,104,279
796509.9089,1986431.551,0.00017842,0.970068491,-0.24278985,-0.105874329,0.363999817,0.379105749,796509.803,1986431.914,343.782,39,796510.8789,1986431.308,104,279
796510.9089,1986426.672,0.000178119,0.970017442,-0.242990074,-0.105445144,0.362807457,0.377842793,796510.8034,1986427.034,343.794,39,796511.8789,1986426.429,104,279
796511.9089,1986421.793,0.000177817,0.969966319,-0.243190518,-0.105016386,0.361615298,0.376580113,796511.8038,1986422.154,343.806,39,796512.8788,1986421.549,104,279
796512.9089,1986416.914,0.000177516,0.96991512,-0.24339118,-0.104588056,0.360423338,0.37531771,796512.8043,1986417.274,343.818,39,796513.8788,1986416.67,104,279
796513.9089,1986412.035,0.000177214,0.969863847,-0.243592062,-0.104160152,0.359231579,0.374055583,796513.8047,1986412.394,343.83,39,796514.8787,1986411.791,104,279
